Name	Party	Position	State	Gender
Katy Gallagher	Labor	1	ACT	F
David Smith	Labor	2	ACT	M
Zed Seselja	Liberal	1	ACT	M
Jane Hiatt	Liberal	2	ACT	F
Christina Hobbs	Greens	2	ACT	F
Sue Wareham	Greens	2	ACT	F
Deborah Field	AJP	1	ACT	F
Jessica Montagne	AJP	2	ACT	F
David Kim	CDP	1	ACT	M
Matt Donnelly	LDP	1	ACT	M
Jeff Petett	LDP	2	ACT	M
Sam Dastyari	Labor	1	NSW	M
Jenny McAllister	Labor	2	NSW	F
Deborah O'Neill	Labor	3	NSW	F
Doug Cameron	Labor	4	NSW	M
Tara Moriaty	Labor	5	NSW	F
Vivien Thomson	Labor	6	NSW	F
Marise Payne	Liberal	1	NSW	F
Arthur Sinodinos	Liberal	2	NSW	M
Fiona Nash	National	3	NSW	F
Concetta Fierravanti-Wills	Liberal	4	NSW	F
John Willams	National	5	NSW	M
Jim Molan	Liberal	7	NSW	M
Wes Fang	National	8	NSW	M
Lee Rhiannon	Greens	1	NSW	F
Michael Osborne	Greens	2	NSW	M
Jane Oakley	Greens	3	NSW	F
David Leyonhjelm	LDP	1	NSW	M
Sam Kennard	LDP	2	NSW	M
Raymond Bennie	ADVP	1	NSW	M
Lynda Stoner	AJP	1	NSW	F
Gordon Elkington	AJP	2	NSW	M
Kirralee Smith	ALA	1	NSW	F
Angry Anderson	ALA	2	NSW	M
Nella Hall	CDP	1	NSW	F
Phil Jobe	Family First	1	NSW	M
Ken Stevens	Justice Party	1	NSW	M
Adam Washbourne	Justice Party	2	NSW	M
Tom Harris	KAP	1	NSW	M
Allan Thomas	Lambie	1	NSW	M
Bruce Relph	Lambie	2	NSW	M
Mitchell Carr	Lambie	3	NSW	M
Aidan Dalgliesh	NXT	1	NSW	M
Anthony Dona	NXT	2	NSW	M
Brian Burston	One Nation	1	NSW	M
Dean Mackin	One Nation	2	NSW	M
Sam Kearns	Pirate	1	NSW	M
Darren McIntosh	Pirate	2	NSW	M
Suellen Wrighton	PUP	1	NSW	F
Rob Marks	PUP	2	NSW	M
Ken Canning	SA	1	NSW	M
Susan Price 	SA	2	NSW	F
Shrlene Leroy-Dyer	SA	3	NSW	F
Howard Byrne	SA	4	NSW	M
James Jansson	Science Party	1	NSW	M
Eve Slavich	Science Party	2	NSW	F
James Cogan	SEP	1	NSW	M
John Davis	SEP	2	NSW	M
Ross Fitzgerald	Sex Party	1	NSW	M
Cameron Curtis	21st Centry	1	NSW	M
Shayne	Higson	1	NSW	F
TBD	Labor	1	NT	?
Pat Honan	Labor	2	NT	?
Nigel Scullion	CLP	1	NT	M
Jenni Lillis	CLP	2	NT	F
Michael Connrad	Greens	1	NT	M
